,index,flight_id,timestamp,altitude,q_high,q_low,maxAltitudeFeet
0,19770,258064118,2022-12-31 16:00:01+00:00,35975.0,37975.0,25818.75,37950.0
1,19771,258064118,2022-12-31 16:00:02+00:00,35975.0,37975.0,25818.75,37950.0
2,19772,258064118,2022-12-31 16:00:03+00:00,35975.0,37975.0,25818.75,37950.0
3,19773,258064118,2022-12-31 16:00:04+00:00,35975.0,37975.0,25818.75,37950.0
4,19774,258064118,2022-12-31 16:00:05+00:00,35975.0,37975.0,25818.75,37950.0
5,19775,258064118,2022-12-31 16:00:06+00:00,35975.0,37975.0,25818.75,37950.0
6,19776,258064118,2022-12-31 16:00:07+00:00,35975.0,37975.0,25818.75,37950.0
7,19777,258064118,2022-12-31 16:00:08+00:00,35975.0,37975.0,25818.75,37950.0
8,19778,258064118,2022-12-31 16:00:09+00:00,35975.0,37975.0,25818.75,37950.0
9,19779,258064118,2022-12-31 16:00:10+00:00,35975.0,37975.0,25818.75,37950.0
10,19780,258064118,2022-12-31 16:00:11+00:00,35975.0,37975.0,25818.75,37950.0
11,19781,258064118,2022-12-31 16:00:12+00:00,35975.0,37975.0,25818.75,37950.0
12,19782,258064118,2022-12-31 16:00:13+00:00,35975.0,37975.0,25818.75,37950.0
13,19783,258064118,2022-12-31 16:00:14+00:00,35975.0,37975.0,25818.75,37950.0
14,19784,258064118,2022-12-31 16:00:15+00:00,35975.0,37975.0,25818.75,37950.0
15,19785,258064118,2022-12-31 16:00:16+00:00,35975.0,37975.0,25818.75,37950.0
16,19786,258064118,2022-12-31 16:00:17+00:00,36000.0,37975.0,25818.75,37950.0
17,19787,258064118,2022-12-31 16:00:18+00:00,36000.0,37975.0,25818.75,37950.0
18,19788,258064118,2022-12-31 16:00:19+00:00,36000.0,37975.0,25818.75,37950.0
19,19789,258064118,2022-12-31 16:00:20+00:00,35975.0,37975.0,25818.75,37950.0
20,19790,258064118,2022-12-31 16:00:21+00:00,35975.0,37975.0,25818.75,37950.0
21,19791,258064118,2022-12-31 16:00:22+00:00,35975.0,37975.0,25818.75,37950.0
22,19792,258064118,2022-12-31 16:00:23+00:00,36000.0,37975.0,25818.75,37950.0
23,19793,258064118,2022-12-31 16:00:24+00:00,35975.0,37975.0,25818.75,37950.0
24,19794,258064118,2022-12-31 16:00:25+00:00,36000.0,37975.0,25818.75,37950.0
25,19795,258064118,2022-12-31 16:00:26+00:00,35975.0,37975.0,25818.75,37950.0
26,19796,258064118,2022-12-31 16:00:27+00:00,36000.0,37975.0,25818.75,37950.0
27,19797,258064118,2022-12-31 16:00:28+00:00,36000.0,37975.0,25818.75,37950.0
28,19798,258064118,2022-12-31 16:00:29+00:00,36000.0,37975.0,25818.75,37950.0
29,19799,258064118,2022-12-31 16:00:30+00:00,36000.0,37975.0,25818.75,37950.0
30,19800,258064118,2022-12-31 16:00:31+00:00,35975.0,37975.0,25818.75,37950.0
31,19801,258064118,2022-12-31 16:00:32+00:00,36000.0,37975.0,25818.75,37950.0
32,19802,258064118,2022-12-31 16:00:33+00:00,36000.0,37975.0,25818.75,37950.0
33,19803,258064118,2022-12-31 16:00:34+00:00,36000.0,37975.0,25818.75,37950.0
34,19804,258064118,2022-12-31 16:00:35+00:00,36000.0,37975.0,25818.75,37950.0
35,19805,258064118,2022-12-31 16:00:36+00:00,36000.0,37975.0,25818.75,37950.0
36,19806,258064118,2022-12-31 16:00:37+00:00,36000.0,37975.0,25818.75,37950.0
37,19807,258064118,2022-12-31 16:00:38+00:00,36000.0,37975.0,25818.75,37950.0
38,19808,258064118,2022-12-31 16:00:39+00:00,36000.0,37975.0,25818.75,37950.0
39,19809,258064118,2022-12-31 16:00:40+00:00,36000.0,37975.0,25818.75,37950.0
40,19810,258064118,2022-12-31 16:00:41+00:00,36000.0,37975.0,25818.75,37950.0
41,19811,258064118,2022-12-31 16:00:42+00:00,36000.0,37975.0,25818.75,37950.0
42,19812,258064118,2022-12-31 16:00:43+00:00,36000.0,37975.0,25818.75,37950.0
43,19813,258064118,2022-12-31 16:00:44+00:00,36000.0,37975.0,25818.75,37950.0
